,nome_jogador,nota_geral,nota_potencial,valor_eur,salario_eur,idade,altura_cm,peso_kg,pe_fraco,habilidade,rescisao_eur,ritmo,chute,passe,drible,defesa,fisico,mentalidade_visao,mentalidade_compostura,mentalidade_posicionamento,poder_salto,poder_stamina,poder_forca,posicao
9343,Y. Kawai,66,66,700000.0,2000.0,31,166,59,4,3,875000.0,53.0,61.0,66.0,67.0,61.0,48.0,64,56,62,69,63,35,Meio campo
9345,K. Kitagawa,66,70,1200000.0,8000.0,24,180,74,4,3,1900000.0,79.0,64.0,49.0,70.0,35.0,60.0,51,61,68,64,54,64,Atacante
9346,I. Zhigulev,66,71,1200000.0,3000.0,25,174,71,3,2,1700000.0,75.0,59.0,63.0,66.0,63.0,67.0,62,59,58,60,76,61,Meio campo
9347,L. Ritzka,66,73,1600000.0,5000.0,23,182,78,3,2,2800000.0,75.0,46.0,59.0,62.0,60.0,67.0,54,63,52,54,87,66,Zagueiro
9348,W. Smallbone,66,77,1900000.0,10000.0,21,173,61,4,3,4000000.0,67.0,62.0,64.0,72.0,57.0,46.0,66,67,64,59,55,41,Meio campo
9350,Lee You Hyeon,66,72,1300000.0,3000.0,24,179,74,4,3,2000000.0,78.0,41.0,59.0,65.0,60.0,74.0,58,61,60,66,83,73,Zagueiro
9351,C. Borchgrevink,66,77,1800000.0,1000.0,22,182,72,4,3,2600000.0,71.0,50.0,61.0,61.0,61.0,66.0,56,55,54,65,82,62,Zagueiro
9352,J. Familia-Castillo,66,76,1800000.0,5000.0,21,175,77,2,3,3800000.0,79.0,53.0,62.0,67.0,57.0,72.0,56,58,60,70,75,73,Zagueiro
9353,M. Coulibaly,66,77,1900000.0,5000.0,22,183,77,3,3,,75.0,59.0,65.0,66.0,64.0,72.0,63,66,64,73,70,73,Meio campo
9355,J. Rankin-Costello,66,76,1800000.0,8000.0,21,183,64,4,3,3800000.0,75.0,55.0,60.0,67.0,64.0,66.0,55,53,59,63,65,71,Zagueiro
9356,J. Sagredo,66,67,900000.0,500.0,27,179,67,2,2,2000000.0,74.0,30.0,51.0,61.0,61.0,58.0,37,49,49,57,70,54,Zagueiro
9357,T. Boss,66,69,800000.0,2000.0,28,186,81,3,1,1200000.0,,,,,,,52,37,11,62,31,69,Goleiro
9359,S. Tigges,66,73,1800000.0,13000.0,22,193,90,4,2,3400000.0,57.0,67.0,55.0,55.0,42.0,79.0,54,63,67,57,75,86,Atacante
9361,A. Sicker,66,71,1200000.0,2000.0,24,184,67,3,2,2000000.0,89.0,31.0,57.0,64.0,56.0,61.0,55,52,42,76,84,51,Zagueiro
9363,K. Tshiembe,66,70,1100000.0,4000.0,24,185,80,3,2,1500000.0,74.0,40.0,54.0,63.0,62.0,75.0,45,64,48,80,65,80,Zagueiro
9364,H. Wright,66,74,1900000.0,4000.0,23,193,90,4,2,,77.0,66.0,48.0,64.0,22.0,72.0,53,69,62,70,65,90,Atacante
9365,M. Nadé,66,75,1800000.0,7000.0,22,188,80,2,2,4000000.0,36.0,30.0,34.0,51.0,67.0,76.0,39,62,38,69,52,91,Zagueiro
9366,J. Verlaat,66,70,1100000.0,1000.0,25,192,91,3,2,1700000.0,49.0,26.0,43.0,47.0,66.0,75.0,37,59,23,33,56,91,Zagueiro
9368,Q. Maceiras,66,71,1200000.0,5000.0,25,180,75,3,3,1900000.0,81.0,57.0,60.0,66.0,62.0,69.0,61,60,62,72,79,68,Zagueiro
9369,N. Ortiz,66,69,1000000.0,500.0,26,188,82,3,2,2200000.0,61.0,30.0,50.0,43.0,65.0,64.0,29,47,28,71,49,72,Zagueiro
9370,Conrado,66,69,1100000.0,2000.0,24,174,72,3,3,1600000.0,81.0,56.0,59.0,66.0,59.0,59.0,57,48,62,64,62,58,Zagueiro
9372,R. Harper,66,75,1900000.0,3000.0,21,188,76,3,3,3700000.0,68.0,53.0,64.0,68.0,60.0,72.0,68,76,64,71,76,71,Meio campo
9374,K. Boateng,66,72,1200000.0,2000.0,24,191,78,3,2,2800000.0,68.0,41.0,41.0,46.0,65.0,75.0,30,52,28,70,68,80,Zagueiro
9375,B. Wiles,66,75,1900000.0,3000.0,22,172,66,3,3,3700000.0,71.0,55.0,64.0,69.0,61.0,72.0,66,62,61,79,86,68,Meio campo
9376,S. Schimmer,66,67,1000000.0,8000.0,27,185,87,4,2,1700000.0,65.0,67.0,42.0,62.0,29.0,73.0,40,59,70,82,65,77,Atacante
9377,Á. Pizzorno,66,67,800000.0,500.0,29,185,82,3,2,1800000.0,69.0,36.0,50.0,55.0,68.0,65.0,35,57,32,64,59,67,Zagueiro
9378,Z. Arsenić,66,68,900000.0,3000.0,27,187,75,3,2,1300000.0,70.0,39.0,56.0,59.0,65.0,74.0,46,62,43,76,72,75,Zagueiro
9379,M. Seegert,66,69,975000.0,1000.0,27,186,76,4,2,1500000.0,66.0,34.0,52.0,56.0,65.0,72.0,42,60,31,86,69,77,Zagueiro
9380,S. Demhasaj,66,70,1200000.0,5000.0,25,191,78,3,2,1800000.0,64.0,69.0,46.0,65.0,29.0,58.0,44,63,66,71,51,70,Atacante
9382,L. Ndenbe,66,73,1600000.0,2000.0,21,174,73,3,2,3100000.0,76.0,30.0,58.0,66.0,61.0,69.0,50,60,57,81,74,64,Zagueiro
9387,D. McNamara,66,73,1600000.0,4000.0,22,174,72,2,2,3400000.0,78.0,38.0,55.0,62.0,61.0,63.0,53,52,54,60,70,64,Lateral
9388,J. Pius,66,70,1100000.0,6000.0,25,193,74,2,2,,52.0,46.0,48.0,54.0,66.0,71.0,48,62,35,54,61,78,Zagueiro
9389,B. Henning,66,68,1100000.0,2000.0,26,173,72,3,3,1700000.0,71.0,52.0,59.0,71.0,60.0,68.0,68,67,49,85,82,56,Meio campo
9391,W. Kanga,66,73,1700000.0,5000.0,23,189,90,4,3,2900000.0,72.0,63.0,59.0,68.0,24.0,62.0,58,59,65,62,33,80,Atacante
9392,M. Eisa,66,67,1000000.0,4000.0,26,183,70,3,3,1800000.0,81.0,64.0,51.0,66.0,24.0,63.0,55,64,67,70,74,68,Atacante
9393,B. Rubio,66,73,1700000.0,4000.0,24,186,80,3,2,3100000.0,71.0,64.0,51.0,66.0,27.0,74.0,53,59,69,76,65,80,Atacante
9394,A. Barylla,66,70,1100000.0,2000.0,24,180,84,2,2,1800000.0,69.0,44.0,56.0,60.0,62.0,75.0,50,58,50,79,83,74,Zagueiro
9395,D. Erdoğan,66,69,1200000.0,4000.0,24,182,79,3,3,2500000.0,64.0,54.0,65.0,66.0,60.0,69.0,66,62,59,70,71,70,Meio campo
9396,S. Puttkammer,66,66,550000.0,850.0,32,192,81,1,2,798000.0,41.0,26.0,45.0,45.0,66.0,74.0,38,68,27,70,65,80,Zagueiro
9397,M. Sipľak,66,68,975000.0,3000.0,25,184,80,3,2,1400000.0,72.0,33.0,55.0,64.0,61.0,74.0,44,67,44,79,73,74,Zagueiro
9398,N. Casale,66,76,1800000.0,6000.0,23,191,80,3,2,3400000.0,63.0,43.0,57.0,59.0,65.0,71.0,55,54,51,67,65,76,Zagueiro
9399,S. Sessegnon,66,80,2000000.0,10000.0,21,174,68,4,2,5100000.0,72.0,33.0,53.0,62.0,62.0,59.0,41,50,44,62,62,58,Zagueiro
9401,F. Brandhof,66,71,1300000.0,4000.0,24,182,80,3,2,1700000.0,69.0,59.0,66.0,67.0,58.0,76.0,65,63,65,69,85,75,Meio campo
9404,S. Karamoko,66,66,775000.0,2000.0,28,170,65,3,2,1400000.0,87.0,38.0,55.0,66.0,59.0,72.0,51,59,59,80,82,69,Zagueiro
9406,R. Kerrouche,66,67,975000.0,2000.0,27,184,73,3,3,1800000.0,65.0,54.0,62.0,66.0,65.0,68.0,66,68,57,61,75,68,Meio campo
9407,M. Tchokounté,66,66,700000.0,2000.0,32,188,90,2,2,1200000.0,40.0,66.0,52.0,62.0,23.0,79.0,60,65,74,70,68,91,Atacante
9408,K. Niemczycki,66,78,1800000.0,2000.0,21,189,84,3,1,2800000.0,,,,,,,44,38,5,60,17,55,Goleiro
9409,M. Perg,66,66,725000.0,3000.0,29,185,80,2,2,1200000.0,40.0,30.0,39.0,42.0,66.0,77.0,30,64,27,80,68,80,Zagueiro
9410,F. Escobar,66,71,1100000.0,3000.0,26,185,74,2,2,1800000.0,77.0,41.0,40.0,46.0,64.0,79.0,33,61,35,80,83,79,Zagueiro
9412,Liu Yang,66,68,975000.0,5000.0,26,184,75,3,2,1600000.0,76.0,53.0,57.0,64.0,62.0,64.0,56,60,58,77,73,61,Zagueiro
9414,B. Öztürk,66,70,1100000.0,5000.0,25,185,75,2,2,2300000.0,61.0,30.0,43.0,46.0,68.0,67.0,31,47,23,70,65,66,Zagueiro
9415,S. Niakaté,66,75,1800000.0,2000.0,21,186,76,3,2,,68.0,28.0,44.0,61.0,65.0,78.0,34,56,32,81,80,79,Zagueiro
9420,S. Baptiste,66,75,1900000.0,11000.0,23,175,67,4,3,4200000.0,65.0,52.0,62.0,70.0,64.0,65.0,65,62,59,63,62,68,Meio campo
9421,M. O'Riley,66,74,1900000.0,3000.0,20,187,77,3,2,3700000.0,60.0,58.0,64.0,65.0,58.0,64.0,66,60,63,59,75,59,Meio campo
9422,Leonardo Rocha,66,73,1700000.0,4000.0,23,200,92,3,2,2800000.0,62.0,67.0,46.0,62.0,21.0,65.0,41,62,67,66,53,87,Atacante
9425,Dani Escriche,66,74,1900000.0,4000.0,23,178,75,3,3,3400000.0,68.0,65.0,51.0,64.0,30.0,63.0,55,49,65,70,65,62,Atacante
9427,J. Carranza,66,75,1900000.0,2000.0,21,175,75,3,3,3200000.0,68.0,65.0,54.0,67.0,33.0,62.0,58,61,70,65,65,67,Atacante
9428,Kike Hermoso,66,77,1800000.0,4000.0,21,190,76,2,2,4100000.0,63.0,29.0,45.0,44.0,68.0,63.0,41,50,33,79,48,71,Zagueiro
9430,Y. Clementia,66,71,1000000.0,1000.0,23,188,80,2,1,1800000.0,,,,,,,32,41,8,59,29,65,Goleiro
9431,G. Hatano,66,72,1100000.0,2000.0,23,198,97,3,1,1600000.0,,,,,,,41,25,8,51,28,43,Goleiro
9433,A. Akinola,66,75,1900000.0,2000.0,21,178,83,3,3,3200000.0,82.0,66.0,48.0,60.0,20.0,70.0,46,60,66,75,50,82,Atacante
9434,M. Jenz,66,74,1800000.0,5000.0,22,190,86,3,2,4000000.0,64.0,29.0,45.0,46.0,66.0,76.0,32,57,25,73,70,84,Zagueiro
9435,K. Guessoum,66,74,1800000.0,2000.0,22,176,70,2,2,3600000.0,66.0,36.0,52.0,57.0,67.0,61.0,43,59,29,70,51,63,Zagueiro
9436,Y. Armougom,66,71,1200000.0,2000.0,23,173,71,3,2,2200000.0,76.0,42.0,56.0,65.0,61.0,62.0,45,53,55,59,69,59,Zagueiro
9437,N. Díaz,66,77,1800000.0,3000.0,22,180,75,2,2,3300000.0,64.0,25.0,49.0,59.0,67.0,72.0,49,52,64,74,80,71,Zagueiro
9438,N. Gallardo,66,72,1300000.0,3000.0,23,178,73,3,2,2200000.0,69.0,41.0,64.0,67.0,61.0,70.0,62,64,61,73,68,67,Zagueiro
9440,F. Grahl,66,66,825000.0,4000.0,29,180,75,3,3,1200000.0,68.0,52.0,69.0,67.0,56.0,66.0,68,66,57,59,79,66,Meio campo
9441,V. Johansson,66,75,1700000.0,2000.0,22,186,74,3,1,3300000.0,,,,,,,29,32,5,59,23,37,Goleiro
9445,Y. Bisseck,66,81,1900000.0,5000.0,20,196,87,3,2,,64.0,33.0,44.0,46.0,66.0,72.0,35,49,28,70,65,80,Zagueiro
9447,C. Akas,66,69,975000.0,2000.0,27,188,90,2,2,2100000.0,64.0,40.0,52.0,62.0,64.0,78.0,36,51,44,59,76,82,Zagueiro
9448,R. Hoffmann,66,76,1700000.0,10000.0,22,192,86,3,1,,,,,,,,31,26,3,42,14,52,Goleiro
9451,L. Dietz,66,72,1200000.0,2000.0,24,190,79,3,2,2000000.0,59.0,37.0,53.0,58.0,66.0,69.0,49,61,38,50,66,74,Zagueiro
9452,D. Foulon,66,75,1800000.0,4000.0,22,180,78,3,2,3600000.0,72.0,32.0,64.0,64.0,61.0,66.0,57,57,55,71,67,65,Zagueiro
9454,S. Cibois,66,72,1100000.0,3000.0,23,192,83,3,1,2400000.0,,,,,,,30,48,10,59,30,65,Goleiro
9455,A. Antilef,66,75,1900000.0,3000.0,22,170,65,4,3,3100000.0,85.0,59.0,64.0,73.0,53.0,63.0,61,55,64,65,72,57,Meio campo
9456,J. Núñez,66,66,700000.0,500.0,32,174,71,3,2,1500000.0,65.0,68.0,43.0,62.0,27.0,55.0,48,46,65,65,40,69,Atacante
9457,J. Lindsey,66,78,2000000.0,2000.0,21,178,88,3,2,3400000.0,79.0,44.0,57.0,62.0,61.0,68.0,53,54,51,71,70,69,Zagueiro
9458,N. Thaller,66,74,1800000.0,4000.0,22,185,86,3,2,3100000.0,52.0,31.0,47.0,49.0,68.0,69.0,38,51,33,71,64,73,Zagueiro
9459,A. Succar,66,69,1100000.0,500.0,25,180,78,3,3,2400000.0,76.0,67.0,53.0,62.0,26.0,66.0,55,61,64,58,59,73,Atacante
9461,A. Herrera,66,73,1600000.0,2000.0,24,180,70,3,2,2600000.0,68.0,32.0,54.0,62.0,65.0,73.0,45,59,54,61,70,76,Zagueiro
9462,G. Bello,66,79,1900000.0,1000.0,19,170,68,3,3,4000000.0,82.0,45.0,54.0,70.0,60.0,59.0,54,58,68,62,70,56,Zagueiro
9466,J. Marcinkowski,66,71,1000000.0,2000.0,24,188,82,2,1,1500000.0,,,,,,,36,52,6,61,40,68,Goleiro
9468,C. Baird,66,71,1300000.0,3000.0,25,178,73,4,2,2000000.0,77.0,64.0,55.0,65.0,32.0,68.0,59,61,66,64,68,69,Atacante
9469,S. Vines,66,77,1800000.0,5000.0,22,178,68,2,2,3100000.0,71.0,33.0,54.0,63.0,63.0,68.0,48,66,44,66,75,67,Zagueiro
9470,B. Reynolds,66,76,1800000.0,9000.0,20,188,75,3,2,3400000.0,70.0,47.0,59.0,60.0,62.0,63.0,62,53,50,63,72,63,Lateral
9471,Álvaro García,66,79,2000000.0,4000.0,21,184,77,3,2,5500000.0,65.0,52.0,59.0,61.0,66.0,68.0,55,63,60,60,66,69,Zagueiro
9472,A. Abeid,66,70,1100000.0,2000.0,23,174,73,3,2,2000000.0,72.0,42.0,54.0,62.0,60.0,73.0,42,55,40,66,86,74,Lateral
9474,D. Valencia,66,78,2100000.0,3000.0,21,181,74,3,2,3400000.0,70.0,61.0,57.0,69.0,26.0,66.0,54,57,70,72,72,66,Atacante
9476,E. Aiwu,66,76,1800000.0,6000.0,20,184,77,3,2,3100000.0,70.0,42.0,54.0,55.0,65.0,75.0,48,58,44,77,80,74,Zagueiro
9477,J. Meier,66,76,1800000.0,5000.0,21,181,75,3,2,,73.0,44.0,59.0,62.0,61.0,64.0,54,47,56,60,71,63,Zagueiro
9479,R. Ljubicic,66,75,1900000.0,6000.0,21,178,74,4,3,3200000.0,58.0,57.0,65.0,68.0,61.0,68.0,67,65,57,66,72,66,Meio campo
9480,Andújar,66,66,725000.0,2000.0,29,189,79,3,2,1200000.0,57.0,34.0,50.0,55.0,64.0,75.0,23,60,32,69,64,82,Zagueiro
9481,D. Sanderson,66,79,2000000.0,13000.0,21,188,78,3,2,,74.0,40.0,51.0,58.0,66.0,71.0,48,53,51,68,65,78,Zagueiro
9483,A. Spahić,66,71,1000000.0,1000.0,24,190,77,3,1,1500000.0,,,,,,,40,25,8,45,25,50,Goleiro
9485,A. Mabaso,66,66,725000.0,500.0,30,173,67,5,2,1600000.0,69.0,42.0,64.0,57.0,65.0,64.0,55,69,56,66,59,65,Zagueiro
9487,D. Ballard,66,76,1800000.0,13000.0,21,187,85,3,2,,51.0,30.0,49.0,50.0,66.0,69.0,49,57,36,64,55,77,Zagueiro
9488,E. Bekiroglu,66,69,1100000.0,4000.0,25,185,84,2,3,2300000.0,69.0,62.0,65.0,69.0,45.0,68.0,66,68,64,59,64,75,Meio campo
9489,H. Pernía,66,66,700000.0,500.0,30,183,82,3,2,1500000.0,55.0,25.0,47.0,37.0,68.0,64.0,31,49,26,66,55,73,Zagueiro
9491,P. Schmidt,66,66,925000.0,7000.0,27,185,83,3,2,1400000.0,66.0,66.0,43.0,60.0,27.0,73.0,42,62,68,82,84,80,Atacante
9492,W. Burger,66,77,1900000.0,3000.0,20,190,80,4,3,3200000.0,75.0,55.0,63.0,66.0,60.0,73.0,64,66,60,70,71,75,Meio campo
9493,A. El Bouchataoui,66,76,1900000.0,2000.0,21,178,74,3,3,,67.0,52.0,67.0,68.0,55.0,63.0,67,62,52,69,67,63,Meio campo
9495,R. Stewart,66,70,1200000.0,4000.0,24,193,81,3,2,2200000.0,71.0,64.0,51.0,59.0,26.0,69.0,52,58,66,50,68,77,Atacante
9496,R. Vodišek,66,76,1700000.0,3000.0,22,188,83,3,1,3400000.0,,,,,,,35,50,6,62,16,62,Goleiro
9497,Gabriel Brazão,66,76,1600000.0,10000.0,20,192,85,4,1,3000000.0,,,,,,,34,30,7,37,24,73,Goleiro
9498,J. Stanić,66,74,1800000.0,6000.0,22,184,81,3,2,,61.0,27.0,54.0,55.0,66.0,71.0,52,58,37,62,76,73,Zagueiro
9499,I. Domínguez,66,77,1800000.0,3000.0,21,172,68,3,2,3400000.0,72.0,33.0,54.0,58.0,63.0,63.0,49,60,49,72,66,60,Zagueiro
9500,E. Erhahon,66,76,1900000.0,2000.0,20,178,66,3,2,3700000.0,73.0,58.0,62.0,66.0,63.0,65.0,64,63,61,60,81,57,Meio campo
9501,S. van Hooijdonk,66,75,1900000.0,7000.0,21,190,80,4,2,3600000.0,76.0,68.0,55.0,62.0,26.0,67.0,52,55,63,70,64,72,Atacante
9503,T. Hájek,66,67,800000.0,5000.0,29,187,77,3,2,1300000.0,50.0,27.0,48.0,38.0,67.0,66.0,30,61,20,73,59,75,Zagueiro
9504,Kim Moon Hwan,66,69,1000000.0,2000.0,25,172,64,3,3,1600000.0,85.0,54.0,61.0,67.0,58.0,60.0,55,62,63,56,73,53,Zagueiro
9507,T. Sugeno,66,66,90000.0,1000.0,37,179,75,2,1,113000.0,,,,,,,34,24,8,75,25,51,Goleiro
9508,E. Karic,66,71,1200000.0,4000.0,24,184,81,3,2,2000000.0,76.0,43.0,57.0,60.0,60.0,74.0,56,59,48,41,84,78,Zagueiro
9510,Juan Ibiza,66,71,1100000.0,2000.0,25,187,78,3,2,1800000.0,59.0,34.0,48.0,50.0,67.0,64.0,36,57,34,70,57,65,Zagueiro
9511,Gonçalo Cardoso,66,77,1800000.0,11000.0,20,189,83,3,2,,54.0,29.0,38.0,48.0,65.0,73.0,28,62,29,71,61,79,Zagueiro
9512,M. Insaurralde,66,73,1700000.0,4000.0,22,176,70,2,2,,73.0,53.0,64.0,68.0,56.0,66.0,68,67,64,71,74,63,Meio campo
9513,K. Michael,66,76,1900000.0,7000.0,21,176,70,3,3,3600000.0,75.0,64.0,68.0,70.0,52.0,58.0,70,60,68,75,71,53,Meio campo
9514,X. Simons,66,83,2200000.0,6000.0,18,168,58,3,3,5400000.0,68.0,57.0,66.0,70.0,57.0,60.0,68,70,67,56,61,55,Meio campo
9515,G. Ferrari,66,73,1600000.0,3000.0,24,184,76,3,2,2700000.0,68.0,40.0,55.0,57.0,64.0,73.0,41,56,45,74,72,73,Zagueiro
9516,F. Colidio,66,75,1900000.0,18000.0,21,179,68,3,3,3600000.0,68.0,67.0,63.0,70.0,25.0,44.0,67,59,66,66,58,39,Atacante
9518,Miguel Morro,66,80,1800000.0,3000.0,20,193,79,2,1,,,,,,,,42,37,5,45,29,58,Goleiro
9519,G. Henriksson,66,74,1800000.0,4000.0,23,188,80,2,2,3000000.0,64.0,39.0,56.0,50.0,65.0,68.0,39,63,34,77,53,75,Zagueiro
9521,W. Ditta,66,73,1600000.0,850.0,24,180,80,3,2,2600000.0,56.0,24.0,46.0,53.0,62.0,78.0,40,68,25,79,69,83,Zagueiro
9522,M. Ross,66,75,1800000.0,3000.0,20,191,81,3,2,2600000.0,68.0,26.0,48.0,54.0,66.0,73.0,36,58,28,74,72,76,Zagueiro
9525,A. Reyes,66,78,2000000.0,2000.0,21,183,81,3,2,3300000.0,65.0,33.0,38.0,47.0,66.0,78.0,29,55,30,81,77,80,Zagueiro
9526,J. Gelhardt,66,82,2200000.0,13000.0,19,175,76,3,3,5600000.0,73.0,66.0,57.0,69.0,27.0,63.0,57,63,64,53,63,68,Atacante
9528,André Luís,66,67,1000000.0,5000.0,27,184,78,3,3,2200000.0,67.0,67.0,48.0,65.0,24.0,70.0,54,59,65,78,71,68,Atacante
9529,A. Díaz,66,76,1900000.0,4000.0,21,172,73,3,2,3200000.0,73.0,62.0,49.0,68.0,23.0,68.0,55,72,67,69,65,74,Atacante
9530,C. Mola,66,77,1800000.0,5000.0,20,183,78,3,2,3600000.0,68.0,40.0,63.0,65.0,62.0,61.0,53,46,58,60,59,64,Zagueiro
9532,E. Pletinckx,66,77,1800000.0,3000.0,20,190,87,3,2,3100000.0,48.0,29.0,43.0,46.0,66.0,75.0,30,57,30,49,68,84,Zagueiro
9533,S. Plaza,66,75,1900000.0,500.0,22,187,80,3,4,4500000.0,73.0,65.0,53.0,65.0,26.0,70.0,50,60,64,70,66,75,Atacante
9536,S. Bjørshol,66,67,900000.0,2000.0,27,184,72,2,2,1200000.0,76.0,27.0,55.0,61.0,60.0,71.0,44,60,50,65,78,70,Zagueiro
9541,J. Zwarts,66,75,1900000.0,4000.0,22,190,83,3,3,3300000.0,82.0,65.0,51.0,64.0,23.0,71.0,50,51,64,70,66,76,Atacante
9545,M. Kamara,66,75,1900000.0,4000.0,23,184,77,4,3,4200000.0,78.0,63.0,52.0,69.0,29.0,67.0,55,51,65,66,62,73,Atacante
9546,F. Quinteros,66,75,1800000.0,4000.0,22,176,69,2,2,3100000.0,67.0,42.0,54.0,63.0,63.0,56.0,34,60,54,59,64,48,Zagueiro
9548,V. Dragsnes,66,67,900000.0,2000.0,27,187,82,3,2,1200000.0,75.0,50.0,58.0,57.0,59.0,69.0,58,55,60,54,85,73,Lateral
9549,O. Lebedenko,66,77,1800000.0,2000.0,22,174,63,3,2,3200000.0,73.0,44.0,57.0,57.0,62.0,54.0,47,54,52,58,76,44,Zagueiro
9551,C. Sertel,66,77,1800000.0,7000.0,21,186,80,2,2,,67.0,36.0,58.0,62.0,64.0,67.0,50,49,47,72,61,70,Zagueiro
9552,A. Gutman,66,72,1300000.0,2000.0,24,183,72,2,2,,78.0,44.0,56.0,58.0,63.0,70.0,49,53,55,70,70,71,Zagueiro
9553,W. Isidor,66,77,1900000.0,11000.0,20,186,74,3,3,4000000.0,67.0,65.0,54.0,66.0,21.0,57.0,59,68,67,64,51,66,Atacante
9556,D. Ochoa,66,76,1600000.0,1000.0,20,188,80,2,1,2600000.0,,,,,,,38,31,7,59,38,68,Goleiro
9557,G. Avila,66,80,1900000.0,2000.0,19,182,75,3,2,4000000.0,69.0,28.0,39.0,48.0,67.0,70.0,31,62,31,72,69,71,Zagueiro
9558,R. Ashurmatov,66,73,1600000.0,2000.0,24,185,83,3,2,2300000.0,71.0,43.0,54.0,60.0,65.0,75.0,45,58,48,83,71,82,Zagueiro
9560,B. Sekulić,66,66,750000.0,2000.0,29,188,73,2,2,1100000.0,66.0,32.0,58.0,61.0,64.0,69.0,55,62,59,72,67,72,Zagueiro
9562,L. Leroy,66,75,1900000.0,6000.0,21,187,82,3,3,4200000.0,63.0,55.0,65.0,68.0,57.0,69.0,65,65,59,62,74,73,Meio campo
9563,J. Branthwaite,66,84,2100000.0,9000.0,19,195,74,5,2,5300000.0,63.0,29.0,45.0,47.0,66.0,64.0,27,51,25,73,57,67,Zagueiro
9564,Kim Tae Hwan,66,78,2000000.0,1000.0,21,179,73,3,3,2900000.0,76.0,39.0,52.0,59.0,63.0,73.0,41,57,53,75,77,76,Lateral
9566,R. Cordano,66,74,1700000.0,500.0,22,185,74,3,1,4000000.0,,,,,,,32,37,4,78,22,45,Goleiro
9567,A. Miron,66,66,800000.0,5000.0,27,185,86,3,2,1100000.0,50.0,38.0,48.0,51.0,65.0,76.0,33,52,36,72,71,82,Zagueiro
9568,A. Pițian,66,69,1000000.0,2000.0,25,192,89,2,2,1400000.0,58.0,47.0,52.0,50.0,64.0,80.0,52,53,43,88,72,89,Zagueiro
9571,P. Iacob,66,70,1100000.0,2000.0,25,185,80,2,2,1600000.0,67.0,49.0,58.0,63.0,66.0,72.0,59,62,52,74,80,71,Zagueiro
9573,J. Carls,66,73,1600000.0,4000.0,24,177,70,3,2,2900000.0,84.0,56.0,56.0,66.0,57.0,59.0,45,59,58,57,78,49,Zagueiro
9574,S. Cabrera,66,75,1800000.0,1000.0,23,174,68,3,2,2800000.0,71.0,38.0,58.0,63.0,61.0,62.0,47,55,62,59,78,56,Zagueiro
9576,L. Mbe Soh,66,76,1800000.0,9000.0,20,187,86,2,2,3800000.0,61.0,29.0,49.0,48.0,66.0,70.0,32,61,30,71,63,75,Zagueiro
9577,Y. Hasegawa,66,71,1300000.0,1000.0,24,178,77,4,2,1700000.0,54.0,46.0,65.0,64.0,60.0,69.0,65,57,48,68,68,73,Meio campo
9578,J. Chougrani,66,66,700000.0,2000.0,30,185,82,2,2,1200000.0,79.0,28.0,53.0,57.0,65.0,73.0,34,55,28,91,75,76,Zagueiro
9579,Sergio Camello,66,81,2100000.0,11000.0,20,177,69,3,3,,68.0,66.0,52.0,67.0,24.0,43.0,54,63,69,65,43,48,Atacante
9585,M. Ekpiteta,66,70,1100000.0,4000.0,25,193,84,1,2,2100000.0,69.0,28.0,46.0,51.0,65.0,74.0,43,54,36,68,65,82,Zagueiro
9586,L. Greiml,66,79,1900000.0,4000.0,19,186,76,2,2,4000000.0,57.0,30.0,48.0,46.0,66.0,71.0,49,66,48,72,71,71,Zagueiro
9587,S. Sonnenberg,66,73,1600000.0,2000.0,22,194,87,3,2,2600000.0,62.0,28.0,41.0,49.0,66.0,75.0,26,65,28,62,69,83,Zagueiro
9588,J. Marx,66,68,975000.0,6000.0,26,171,69,4,2,1600000.0,90.0,38.0,52.0,64.0,55.0,56.0,39,56,41,60,86,41,Zagueiro
9589,J. Gaari,66,67,900000.0,2000.0,27,181,77,3,2,1400000.0,75.0,40.0,52.0,63.0,62.0,71.0,41,56,53,81,72,74,Zagueiro
9590,D. Köhn,66,75,1800000.0,2000.0,22,180,73,3,2,3000000.0,82.0,46.0,65.0,68.0,57.0,67.0,64,53,48,79,74,65,Zagueiro
9591,J. Holúbek,66,66,725000.0,3000.0,30,180,79,2,2,979000.0,73.0,25.0,51.0,61.0,62.0,64.0,38,47,47,74,73,67,Zagueiro
9593,M. Aioani,66,77,1700000.0,2000.0,21,186,80,2,1,2600000.0,,,,,,,44,23,4,55,33,48,Goleiro
9596,M. Miers,66,66,575000.0,4000.0,31,185,81,2,2,834000.0,55.0,34.0,42.0,44.0,69.0,63.0,35,58,46,75,53,69,Zagueiro
9597,B. Sam,66,71,1200000.0,500.0,23,171,66,3,2,2700000.0,75.0,30.0,54.0,62.0,63.0,60.0,52,53,46,61,67,60,Zagueiro
9598,J. Bay,66,66,775000.0,4000.0,28,179,79,3,3,1100000.0,73.0,47.0,54.0,65.0,62.0,70.0,47,64,59,54,72,69,Zagueiro
9600,W. Coulibaly,66,74,1800000.0,7000.0,22,188,84,3,2,3600000.0,71.0,35.0,54.0,60.0,62.0,77.0,47,54,48,77,77,85,Zagueiro
9601,T. Huk,66,69,1000000.0,3000.0,26,184,80,2,2,1400000.0,63.0,29.0,47.0,44.0,66.0,67.0,35,62,26,81,58,74,Zagueiro
